fold,level,metric,r2,rmse,medae,alpha,n_components
3,95%,Skewness,0.6334179349177506,0.15779018071773562,0.10564187095301525,100.0,46
3,95%,sigma_local,0.8118538201358063,3.0111391904816265,1.8106049714197883,31.622776601683793,46
3,brut (100%),D50,0.7549794273372101,1.0394067133135092,0.7140832212039792,100.0,384
3,brut (100%),D10,0.6952068883666588,0.12387077167850975,0.07669244190797697,10.0,384
3,brut (100%),D90,0.29169519266175337,1.125848481773761,0.6290605984962987,316.22776601683796,384
3,brut (100%),Span,0.7506780114339752,0.33354497693212637,0.2048966478263865,100.0,384
3,brut (100%),Skewness,0.654624173962278,0.15315822875602866,0.09989006153140573,100.0,384
3,brut (100%),sigma_local,0.8781732192049807,2.4230061313570928,1.5233590736952412,10.0,384
4,50%,D50,0.41438781248579515,1.5048449194361386,1.0047547629299718,316.22776601683796,5
4,50%,D10,0.0715340851770444,0.11916661482243453,0.07668032308715556,316.22776601683796,5
4,50%,D90,0.18047364803287136,1.4559971307794815,1.0118077220636295,1000.0,5
4,50%,Span,0.433239907934852,0.47697751408098266,0.28130766047003997,100.0,5
4,50%,Skewness,0.38726763442952905,0.21200506556978607,0.15231864529976602,316.22776601683796,5
4,50%,sigma_local,0.4437476821199784,4.980087149169619,3.5034768502107205,316.22776601683796,5
4,75%,D50,0.5167510122414551,1.3670115048306128,0.8763748731149068,100.0,13
4,75%,D10,-0.15978697841172185,0.13318666191071124,0.09325505949759605,316.22776601683796,13
4,75%,D90,0.32949320758248624,1.3169844542325042,0.8079719784209622,316.22776601683796,13
4,75%,Span,0.5518121515744614,0.4241586356503319,0.2931442432532365,100.0,13
4,75%,Skewness,0.528956337382454,0.1858837434347112,0.12167535007535701,316.22776601683796,13
4,75%,sigma_local,0.5272714155555815,4.590996458057965,2.401525925652873,316.22776601683796,13
4,95%,D50,0.7268033191427705,1.0278373671456225,0.6773138209160932,100.0,47
4,95%,D10,-0.02480402603964782,0.12519645491768414,0.06730107520743367,100.0,47
4,95%,D90,0.4121114802769128,1.23318021225924,0.8870730623530001,316.22776601683796,47
4,95%,Span,0.6868375280799921,0.3545546054245024,0.20474874749030736,100.0,47
4,95%,Skewness,0.6722425315343155,0.1550554820992828,0.10087189299631771,100.0,47
4,95%,sigma_local,0.7888991155532847,3.067934281883884,1.7751648169137688,31.622776601683793,47
4,brut (100%),D50,0.7609196839342994,0.9615206234742526,0.5750800530002378,100.0,384
4,brut (100%),D10,0.15454275199409961,0.11371491887510027,0.07635979551867844,10.0,384
4,brut (100%),D90,0.4145036185993298,1.2306687287763605,0.868552455515502,1000.0,384
4,brut (100%),Span,0.7074678081094155,0.34267711927341854,0.22968292186712302,100.0,384
4,brut (100%),Skewness,0.6908246692843668,0.15059593332022234,0.09425924238942773,100.0,384
4,brut (100%),sigma_local,0.8387988316267857,2.680927802309329,1.4091995234039718,31.622776601683793,384
