block,metric,patch_uid,image,texture,fold,y_true,y_pred_oof,residual
block_4,D50,412,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Granuleux,3,4.300276715227477,5.211477432652891,-0.9112007174254142
block_4,D50,413,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Sableux,3,5.575530442804428,5.239054702547739,0.3364757402566889
block_4,D50,417,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Sableux,3,6.831268831603616,8.088455444504554,-1.257186612900938
block_4,D50,418,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Sableux,3,7.186433536970719,6.942423107702092,0.24401042926862626
block_4,D50,545,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0037.tif,Granuleux,4,8.886859781696053,8.71644573734987,0.1704140443461828
block_4,D50,596,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,10.890770200031504,8.600485599298226,2.290284600733278
block_4,D50,597,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,7.64349710982659,8.29558617210002,-0.6520890622734301
block_4,D50,598,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,8.305506458191704,8.640474592252417,-0.3349681340607127
block_4,D50,599,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,8.33276827830189,9.701221159305021,-1.3684528810031313
block_4,D50,600,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,6.944345941686367,8.4891076212388,-1.5447616795524324
block_4,D50,601,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,7.998160173160172,7.477297662946044,0.520862510214128
block_4,D50,602,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,7.603530735687157,9.122763762822228,-1.519233027135071
block_4,D50,603,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,8.147661706650469,8.068179565146679,0.07948214150379052
block_4,D50,604,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,8.388389591388858,8.492447293959847,-0.10405770257098901
block_4,D50,605,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,9.698905596583325,8.237533900450119,1.461371696133206
block_4,D50,606,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,8.11107647547797,8.083181032843582,0.0278954426343887
block_4,D50,607,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,Granuleux,2,8.469000729394605,8.092500988522751,0.37649974087185356
