block,metric,fold,model,r2,rmse,medae,n_estimators_used
block_6,D90,3,Ridge,0.29169519266175337,1.125848481773761,0.6290605984962987,
block_6,D90,3,SVR_RBF,0.09647410834395576,1.2715696482258254,0.7486381751114735,
block_6,D90,3,RF_sqrt,0.2230170952445174,1.1791677248802852,0.7914617933510595,
block_6,D90,3,RF_third,0.23507831074804608,1.1699797351344372,0.7884551815566851,
block_6,D90,3,GBM,0.1761225335295047,1.214230574312067,0.8321812446817543,49.0
block_6,D90,3,GBM_train,0.7430060470179147,0.8074314895795512,0.5696547528948113,49.0
block_6,Span,3,Ridge,0.7506780114339752,0.33354497693212637,0.2048966478263865,
block_6,Span,3,SVR_RBF,0.6887009421655068,0.3727031100654636,0.21556623955456056,
block_6,Span,3,RF_sqrt,0.6195488762114235,0.4120249822015054,0.23734466529247222,
block_6,Span,3,RF_third,0.6372391097103516,0.4023317842152643,0.22587852375570172,
block_6,Span,3,GBM,0.6679271243653512,0.3849380262570066,0.2230374659314387,123.0
block_6,Span,3,GBM_train,0.9544706574360728,0.1564274130500495,0.06735986563043639,123.0
block_6,Skewness,3,Ridge,0.654624173962278,0.15315822875602866,0.09989006153140573,
block_6,Skewness,3,SVR_RBF,0.5725317500316645,0.17039086139921752,0.12072064438051985,
block_6,Skewness,3,RF_sqrt,0.5163494123984472,0.18124257623290763,0.12297998803082438,
block_6,Skewness,3,RF_third,0.5464243587730933,0.17551701668748257,0.12089085346086889,
block_6,Skewness,3,GBM,0.5432503385880033,0.17613006034865325,0.13019785600626127,129.0
block_6,Skewness,3,GBM_train,0.9472162592544282,0.06807870767202392,0.03028082836971417,129.0
block_6,sigma_local,3,Ridge,0.8781732192049807,2.4230061313570928,1.5233590736952412,
block_6,sigma_local,3,SVR_RBF,0.8025047851413394,3.0850443921178146,1.7993477492642684,
block_6,sigma_local,3,RF_sqrt,0.6354762064528169,4.191274156962565,2.9705328666344775,
block_6,sigma_local,3,RF_third,0.6822420804380266,3.9131934743304937,2.8319929509731248,
