patch_uid,disp,texture,image,y_true,y_pred_oof,residual,abs_residual
2821,7.431327930943869,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0034.tif,4.887234582522628,6.089922937204887,-1.2026883546822589,1.2026883546822589
2822,7.430112739315529,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0034.tif,5.643025278886501,5.109401380892793,0.5336238979937082,0.5336238979937082
2823,7.711104359784716,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0034.tif,5.282495441521228,5.199339462071591,0.0831559794496374,0.0831559794496374
2824,6.564123457647005,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0034.tif,4.507491327773267,4.373420281413536,0.1340710463597316,0.1340710463597316
2828,6.952084823137281,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0034.tif,3.842430595720068,4.540145309912084,-0.6977147141920161,0.6977147141920161
2829,6.059872269605608,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0034.tif,4.439857209374516,4.503697759255453,-0.0638405498809371,0.0638405498809371
2830,6.6666172565083,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0034.tif,4.112037654732784,3.991337720358332,0.1206999343744521,0.1206999343744521
2831,7.075584091606558,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0034.tif,3.918988386114108,3.732705621670287,0.1862827644438209,0.1862827644438209
2832,7.518188619908356,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0034.tif,5.510670731707318,4.563632653855419,0.9470380778518992,0.9470380778518992
2837,8.014800480457978,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0034.tif,4.758131776480398,5.056305174380836,-0.2981733979004382,0.2981733979004382
2838,6.953659627749899,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0034.tif,5.255187246963564,4.86141599364735,0.3937712533162134,0.3937712533162134
2839,8.519452010344722,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0034.tif,6.208884385665529,5.7095269751195366,0.4993574105459926,0.4993574105459926
2840,8.471128071848039,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0034.tif,6.633182518290336,4.846233947033589,1.7869485712567466,1.7869485712567466
