block,fold,metric,model,dropout,seed,r2,rmse,medae
block_6,2,D50,MLP_p0.3,0.3,0.0,0.7028227722231044,1.0312765867115221,0.722908563900269
block_6,2,D50,MLP_p0.3,0.3,1.0,0.7090431819873941,1.0204263477326143,0.5555293785460131
block_6,2,D50,MLP_p0.3,0.3,2.0,0.747061881178825,0.9514249510591237,0.5920381945117015
block_6,2,D50,MLP_p0.5,0.5,0.0,0.739434147158621,0.9656642305087072,0.6172528971021416
block_6,2,D50,MLP_p0.5,0.5,1.0,0.729691579563907,0.983551673814228,0.5342568146221272
block_6,2,D50,MLP_p0.5,0.5,2.0,0.7480838090150894,0.9495010186341741,0.5613049045268319
block_6,2,D90,MLP_p0.3,0.3,0.0,0.3302441631977783,1.3844147375223204,0.8713837533330739
block_6,2,D90,MLP_p0.3,0.3,1.0,0.3725352966977107,1.3399932496236286,0.8001656415741287
block_6,2,D90,MLP_p0.3,0.3,2.0,0.34902969064343314,1.3648613975340604,0.8859349160528005
block_6,2,D90,MLP_p0.5,0.5,0.0,0.333874920080682,1.3806571711560929,0.7962317954934406
block_6,2,D90,MLP_p0.5,0.5,1.0,0.37259077988647027,1.339934004265594,0.8488876532813094
block_6,2,D90,MLP_p0.5,0.5,2.0,0.3615451712325599,1.3516773869905472,0.8667919235311601
block_6,2,Span,MLP_p0.3,0.3,0.0,0.6840760541261353,0.39036307930457814,0.3020969395763662
block_6,2,Span,MLP_p0.3,0.3,1.0,0.7025650841315528,0.3787681363924773,0.29629084014632445
block_6,2,Span,MLP_p0.3,0.3,2.0,0.7111154800751671,0.373284191378836,0.24592862182652198
block_6,2,Span,MLP_p0.5,0.5,0.0,0.7133767905959677,0.3718203368324504,0.28159925039972045
